Time,AreaNormed,Counts Bmal1,Counts Cry1
17,1.7867793123833935,137,31
17,0.701250058890494,12,5
17,1.3657373935698505,52,11
17,0.8648507490083386,38,6
17,0.9007524169556979,17,6
17,0.9426522904015795,56,5
17,1.3860232953775047,49,12
17,0.9645435513450912,41,5
17,1.231325051376688,56,20
17,0.5109420304215648,10,3
17,1.1316322490399355,72,22
17,1.2495531746556523,28,13
17,0.8005050360083763,8,2
17,1.1237659892742335,44,11
17,1.0809904653906115,32,8
17,0.8865960682122269,14,5
17,1.5380799938911374,53,14
17,1.0374998269828348,49,9
17,0.9840851502806661,25,14
17,1.6390862718845007,100,24
17,1.2692699036787751,37,17
17,0.9842310920202895,16,7
17,1.4235303224607214,28,6
17,0.8368299350006435,31,5
17,1.6225802611330928,31,32
17,0.7861881513513196,7,9
17,1.3918463707884787,51,21
17,1.0990872411039145,29,7
17,0.9048533798391157,31,5
17,1.2565729723315384,38,13
17,1.2790334060595814,46,5
17,0.9516860840842687,14,6
17,0.8231114114760428,31,9
17,0.734831253177841,37,4
17,0.8991470578198404,36,9
17,1.046402273099863,39,9
17,0.7260747488004363,35,4
17,0.6078473455315103,50,8
17,0.6764399631545139,25,4
17,1.0486059933681764,9,14
17,0.7470757651322453,36,8
17,0.7774316469739149,33,11
17,0.9074803311523372,9,7
17,0.9511169112997373,42,5
17,1.01633827473744,18,20
17,1.1443291803871722,45,7
17,0.4891967112176765,36,10
17,0.8566780115894276,36,7
17,0.8063427055933128,30,5
17,1.424843798117332,31,10
17,1.2212550713426726,27,12
17,1.0131421506396874,42,10
17,0.8988697685145559,49,11
17,0.9632154815145182,25,6
17,0.48729946860257217,26,3
17,0.8825096995027715,37,7
17,0.8070578201174675,39,7
17,0.976510773994211,35,10
17,0.9087792126349855,8,33
17,0.8839691168990056,30,7
17,1.3796018588340746,39,8
17,0.6557308303019518,38,4
17,0.7389030277133342,41,12
17,1.1962990338670692,69,15
17,0.5211579521952037,14,10
17,1.1676798587269182,49,16
17,0.9370919101219275,11,9
17,1.2564124364179525,41,20
17,1.202282645191629,36,17
17,0.8703965351140283,23,12
17,1.4905175809478675,45,18
17,0.35682755337924194,7,2
17,0.7603564634379757,19,5
17,1.5255435984574863,87,26
17,0.4743106537760885,16,2
17,1.032245924356392,43,11
