Time,AreaNormed,Counts Nr1d1,Counts Cry1
21,1.065169348,10,13
21,0.714303793,58,2
21,0.850848971,17,10
21,1.240031969,53,12
21,0.885935527,35,6
21,1.334911863,29,12
21,1.48095965,15,6
21,0.908741788,29,27
21,0.9400273,23,13
21,0.729507967,11,7
21,0.8574277,24,2
21,1.530797178,23,17
21,1.032129508,24,5
21,0.931401855,31,9
21,0.658311498,40,2
21,0.732885048,78,17
21,0.710078787,20,3
21,0.976283407,48,6
21,0.777167205,62,3
21,1.524657031,10,17
21,0.869854189,35,7
21,1.157125362,14,13
21,1.169990432,2,9
21,0.614160915,9,6
21,2.128160405,46,15
21,0.815470028,21,9
21,0.545171976,1,3
21,1.037407111,23,14
21,0.826873158,7,12
21,0.318556685,31,4
21,1.030959956,5,23
21,0.603634949,10,21
21,0.941635433,38,1
21,0.845585988,12,17
21,1.050111368,26,6
21,0.77849757,13,10
21,0.399109569,30,1
21,0.701292528,3,20
21,0.684187832,12,4
21,0.965465052,62,4
21,1.537083519,58,9
21,1.211670336,18,9
21,0.537847657,11,2
21,1.059467782,4,13
21,1.27277942,68,7
21,0.671322762,19,4
21,0.540917731,40,7
21,0.758746763,24,6
21,0.712841853,48,7
21,1.157710138,19,13
21,0.829066068,5,5
21,0.987540344,16,10
21,0.545595938,13,9
21,0.99879728,61,5
21,1.04179293,9,4
21,1.37336088,64,8
21,0.831843754,36,12
21,0.935933868,26,10
21,1.288714564,59,3
21,0.882719259,5,6
21,0.902894028,137,3
21,1.020594803,10,9
21,1.161233413,14,9
21,1.000113026,50,6
21,0.651732769,10,4
21,1.489000319,24,9
21,0.945290283,30,12
21,0.364023013,16,3
21,0.514602814,10,5
21,0.536531911,43,6
21,1.250543316,80,11
21,0.533608032,24,7
21,0.553066451,25,8
21,0.881988289,27,6
21,0.791508834,47,10
21,0.575273316,15,13
21,0.524836393,41,3
21,1.006852569,70,5
21,0.725706923,24,13
21,1.399661177,11,6
21,0.648370307,3,22
21,0.741203485,9,7
21,0.561384888,15,1
21,0.724259603,24,13
